source_id,title,author,matched_by,action,changed_fields,reason,existing_title,existing_author,new_title,new_author
08f2dd3e-4de6-4b20-8916-85702b7b272e,קדושת שביעית,נוב רמת השלן,,SKIPPED,,"status=""failed""",,,קדושת שביעית,נוב רמת השלן
0a30ff96-13f4-4f8c-b0b5-972169bcf141,עגבניות,Unknown,,SKIPPED,,"status=""failed""",,,עגבניות,Unknown
0a7309e1-26e0-49a5-a7b2-5837500fbd75,Utopia's Avenger Volume 2,Oh Se-kwon,,SKIPPED,,"status=""failed""",,,Utopia's Avenger Volume 2,Oh Se-kwon
0b2e8968-689c-43aa-bd16-7b9fd43e103f,לשׁוֹנֵנוּ רְנָה,Unknown,,SKIPPED,,"status=""failed""",,,לשׁוֹנֵנוּ רְנָה,Unknown
0b4e42b8-7fc4-4611-9b51-8b5571a3cb0f,Aishel,Meir Wikler,,SKIPPED,,"status=""needs_review""",,,Aishel,Meir Wikler
0bc2de66-2862-4fdd-9db1-1faf205a2969,JEPMOHTOB,M.IO.,,SKIPPED,,"status=""failed""",,,JEPMOHTOB,M.IO.
0c0501e6-49c1-4405-8c90-d51f0a1b67af,"World Commercial Aircraft Accidents, 1946-1991",Chris Y. Kimura,,SKIPPED,,"status=""failed""",,,"World Commercial Aircraft Accidents, 1946-1991",Chris Y. Kimura
0c3c6590-c164-4b23-88e5-db8f937ca069,חמשה חומשי תורה,Unknown,,SKIPPED,,"status=""failed""",,,חמשה חומשי תורה,Unknown
0ca7d106-125c-45b4-b391-2d733a5bef3f,SSEBL Host FreenApp,Unknown,,SKIPPED,,"status=""failed""",,,SSEBL Host FreenApp,Unknown
0ef2f681-054b-4d0c-93e3-9a4a2532e055,וקירור הגולן,Unknown,,SKIPPED,,"status=""failed""",,,וקירור הגולן,Unknown
0f42c8fd-0b9c-41e8-97ff-305e73958e1e,Omnia quae extant in latinum sermonem conversa,Galenus,,SKIPPED,,"status=""needs_review""",,,Omnia quae extant in latinum sermonem conversa,Galenus
0ff79e21-2e4a-4fb9-a674-5f40a7e59412,קול ישראל,Unknown,,SKIPPED,,"status=""failed""",,,קול ישראל,Unknown
117cc707-9865-4056-9806-b419ac5bf034,הדעתעןל הטבו,Unknown,,SKIPPED,,"status=""failed""",,,הדעתעןל הטבו,Unknown
11958bdf-206c-44b3-8772-8d1861714534,Kratkaa Evreiskaya Entsiklopediya,"Oren, Prat, Avner",,SKIPPED,,"status=""failed""",,,Kratkaa Evreiskaya Entsiklopediya,"Oren, Prat, Avner"
1287f6d3-b5eb-43d7-93ca-35273dceda6f,journal of common market studies,"stanley henig, miguel s. wionczek",,SKIPPED,,"status=""failed""",,,journal of common market studies,"stanley henig, miguel s. wionczek"
13dcf095-208b-40d0-a8ee-dcf8bc2d9693,מחשבה שבועית,Unknown,,SKIPPED,,"status=""failed""",,,מחשבה שבועית,Unknown
140d1365-2951-4ab0-913a-0d00a8981a9e,"A Rapid Method for the Correlation of Fine Grained Sediments with the Aid of the Spectrograph as Applied to the Mississippian-Devonian Sequence in Clare County, Michigan",David Stanley Paige,,SKIPPED,,"status=""failed""",,,"A Rapid Method for the Correlation of Fine Grained Sediments with the Aid of the Spectrograph as Applied to the Mississippian-Devonian Sequence in Clare County, Michigan",David Stanley Paige
14fc17cb-9c9f-43cf-b091-b5fe934bba69,"The Symphonic Repertoire, Volume IV",A. Peter Brown,,SKIPPED,,"status=""failed""",,,"The Symphonic Repertoire, Volume IV",A. Peter Brown
160092d4-460f-4d49-ae02-7a35cd49c54b,1000 טשערװאָנצעס,ארצי,,SKIPPED,,"status=""failed""",,,1000 טשערװאָנצעס,ארצי
1638b575-4a2c-43f2-8077-1cc194d4875f,המוסיקה של היהודים ההרריים,פרץ אליהו,,SKIPPED,,"status=""failed""",,,המוסיקה של היהודים ההרריים,פרץ אליהו
16d5cbbe-768d-4306-80b2-a4cd30351402,"Mikra Leyisrael - A Biblical Commentary for Israel, Yoel, Amos",Mordechai Cogan; Shalom M. Paul,,SKIPPED,,"status=""needs_review""",,,"Mikra Leyisrael - A Biblical Commentary for Israel, Yoel, Amos",Mordechai Cogan; Shalom M. Paul
17fb2769-81a6-48a6-a6db-96aad873919e,תפלות ימים נוראים DAYS,לייב גלאנץ,,SKIPPED,,"status=""failed""",,,תפלות ימים נוראים DAYS,לייב גלאנץ
1832c357-2385-469b-b267-2dbdb14b3d01,"Man, Beast and Beast-man, and Other Essays",Victor S. Yarros,,SKIPPED,,"status=""failed""",,,"Man, Beast and Beast-man, and Other Essays",Victor S. Yarros
185bdd24-07e5-4f84-8e1a-45af8eac94b9,פעמי - ההיכל,צבי טלמון (מונפון),,SKIPPED,,"status=""failed""",,,פעמי - ההיכל,צבי טלמון (מונפון)
1870b180-6190-40af-af5a-ca4f6442d8f8,The Tanach,Unknown,,SKIPPED,,"status=""needs_review""",,,The Tanach,Unknown
18b5c120-2503-42d0-bed1-40aa7516919c,COBPAHHE COHHHHHH,H. B. TOTO.IL,,SKIPPED,,"status=""failed""",,,COBPAHHE COHHHHHH,H. B. TOTO.IL
18e6df54-e9b9-402e-a86d-9bd4e30412bf,שפתי רננות,רבינו יצחק ן' יהודה בן גיאת,,SKIPPED,,"status=""failed""",,,שפתי רננות,רבינו יצחק ן' יהודה בן גיאת
1916d073-0636-418a-9d8f-04c0bf666050,Magdalen Hepburn,Mrs. Oliphant (Margaret),,SKIPPED,,"status=""failed""",,,Magdalen Hepburn,Mrs. Oliphant (Margaret)
19372057-6b82-43fe-894d-c0051f6c0356,קטלוג ספרים כללי,Hitʼaḥadut hotsaʼot sefarim be-Yiśraʼel,,SKIPPED,,"status=""failed""",,,קטלוג ספרים כללי,Hitʼaḥadut hotsaʼot sefarim be-Yiśraʼel
19acc885-da9a-4cd0-b53e-0e052767b6e7,ה וקירור ום ם הגולן,Unknown,,SKIPPED,,"status=""failed""",,,ה וקירור ום ם הגולן,Unknown
1b52a4c5-2793-4c8b-a94f-20bf56b09c6f,"Obstetric and Gynecologic Emergencies, An Issue of Critical Care Clinics",Peter J. Papadakos; Susan E. Dantoni,,SKIPPED,,"status=""failed""",,,"Obstetric and Gynecologic Emergencies, An Issue of Critical Care Clinics",Peter J. Papadakos; Susan E. Dantoni
1b8fbd8d-01b8-4da8-b08b-6605c579863e,Titus Livius Patavinus,Giacomo Filippo Tomasini,,SKIPPED,,"status=""needs_review""",,,Titus Livius Patavinus,Giacomo Filippo Tomasini
1bb818d9-7ae0-4ff6-bbf8-a1b9001a4364,Kirjath sepher,ZEBULON KWARTIN,,SKIPPED,,"status=""failed""",,,Kirjath sepher,ZEBULON KWARTIN
1bff72e6-c3ef-4866-a1fd-6758df0c3ae4,פעם כשאשיה יותר צעיר,יעקב בורק,,SKIPPED,,"status=""failed""",,,פעם כשאשיה יותר צעיר,יעקב בורק
1c0612de-abbb-4fbf-be7a-cf7e7253c6a3,Moral Thinking,R. M. Hare,,SKIPPED,,"status=""needs_review""",,,Moral Thinking,R. M. Hare
1c797d93-c9b5-4411-98db-896781ba725b,PAALS PHN,Unknown,,SKIPPED,,"status=""failed""",,,PAALS PHN,Unknown
1c7f6637-53f5-4f8b-8749-19967796ef89,Z Vassilis vannilikos: Translated from the creek,Marilyn Calmann,,SKIPPED,,"status=""needs_review""",,,Z Vassilis vannilikos: Translated from the creek,Marilyn Calmann
1c8149dd-c147-49d3-ac1e-ee400158dda1,Religious Responses to the Holocaust,Sir Immanuel Jakobovits,,SKIPPED,,"status=""failed""",,,Religious Responses to the Holocaust,Sir Immanuel Jakobovits
1c9146e4-4691-4e9d-9198-baa009a18a39,"Mathematical Analysis, Probability and Applications – Plenary Lectures",Tao Qian; Luigi G. Rodino,,SKIPPED,,"status=""failed""",,,"Mathematical Analysis, Probability and Applications – Plenary Lectures",Tao Qian; Luigi G. Rodino
1ca828df-938e-4af0-a2e1-a7e88f046c39,Or LaYesharim,Joshua Buch,,SKIPPED,,"status=""failed""",,,Or LaYesharim,Joshua Buch
1dbf6d73-a568-4083-aba9-93b7b4818c7f,"Catalogue of the Hebrew Manuscripts in the Bodleian Library and in the College Libraries of Oxford, Including Mss. in Other Languages ... Written with Hebrew Characters, Or Relating to the Hebrew Language Or Literature",Bodleian Library,,SKIPPED,,"status=""failed""",,,"Catalogue of the Hebrew Manuscripts in the Bodleian Library and in the College Libraries of Oxford, Including Mss. in Other Languages ... Written with Hebrew Characters, Or Relating to the Hebrew Language Or Literature",Bodleian Library
1e4cc5d7-be45-498e-bb9b-7c93abbc05a4,The Pocket List of Railroad Officials,"Robert Frost, Louis Untermeyer",,SKIPPED,,"status=""needs_review""",,,The Pocket List of Railroad Officials,"Robert Frost, Louis Untermeyer"
1e87aeae-c1d9-413a-bee4-24a79d9892a9,Knizhnai︠a︡ li︠e︡topisʹ,Unknown,,SKIPPED,,"status=""failed""",,,Knizhnai︠a︡ li︠e︡topisʹ,Unknown
1ee0307e-e827-4887-a7ed-6029c15d868c,אוצר החסידות,אנדרה היידו · יעקב מזור,,SKIPPED,,"status=""failed""",,,אוצר החסידות,אנדרה היידו · יעקב מזור
1eec7b1c-f477-49c2-a3e7-172528b7c083,ברמת האלך,Unknown,,SKIPPED,,"status=""failed""",,,ברמת האלך,Unknown
1f82c1ef-703e-4ef2-9737-de8e27ba0359,Tutti i colori delle città del mondo. Ediz. a colori,Jana Sedlácková,,SKIPPED,,"status=""needs_review""",,,Tutti i colori delle città del mondo. Ediz. a colori,Jana Sedlácková
21bbda4f-9ef9-4063-8f48-5a80e71fc20b,COBPAHHE COHHHHHHH TOM TETHt IOBECTH,Н. B. гоголь,,SKIPPED,,"status=""failed""",,,COBPAHHE COHHHHHHH TOM TETHt IOBECTH,Н. B. гоголь
21ff57b9-b65a-4f56-a816-5be9e273937e,Краткая еврейская энциклопедия,Ари Авнер,,SKIPPED,,"status=""failed""",,,Краткая еврейская энциклопедия,Ари Авнер
2206bf3f-b911-43cb-b9ea-072a8a24daa8,שביעית הגולן,Unknown,,SKIPPED,,"status=""failed""",,,שביעית הגולן,Unknown
224d4abf-51e4-4d47-8c23-e67c2ff20fdc,דרשות,כּיר,,SKIPPED,,"status=""failed""",,,דרשות,כּיר
23c81f83-2af1-4c2f-8931-b449408f13ba,Catalogue of the Royal Picture Gallery in Dresden,"Gemäldegalerie (Dresden, Germany)",,SKIPPED,,"status=""failed""",,,Catalogue of the Royal Picture Gallery in Dresden,"Gemäldegalerie (Dresden, Germany)"
23f5955b-42dd-46e2-a7ad-8efb7f69aada,Germany Jeremiah J. Johnston und die Entdeckungen Jesu,Thrownfield Ashford,,SKIPPED,,"status=""needs_review""",,,Germany Jeremiah J. Johnston und die Entdeckungen Jesu,Thrownfield Ashford
24a3009e-84b7-4bdb-8ea7-c30da7b80993,A Class Book for Jewish Youth of Both Sexes,Henry A. Henry,,SKIPPED,,"status=""failed""",,,A Class Book for Jewish Youth of Both Sexes,Henry A. Henry
24c7252d-933a-481e-a7ee-473b700dcd77,Die Heilige Stiege auf dem Kreuzberg zu Bonn,Walter Schulten,,SKIPPED,,"status=""needs_review""",,,Die Heilige Stiege auf dem Kreuzberg zu Bonn,Walter Schulten
251229bc-dc6a-4e87-8eb8-676d430456f4,תעודות ארמיות ממצרים העתיקה,בצלאל פורטן - עדה ירדני,,SKIPPED,,"status=""failed""",,,תעודות ארמיות ממצרים העתיקה,בצלאל פורטן - עדה ירדני
25e39f37-fe66-4524-a2c9-d3a294253ce0,Make Up,Eve Oxberry,,SKIPPED,,"status=""failed""",,,Make Up,Eve Oxberry
266ff4c3-dda8-4cf4-b055-e17f04042bc7,רושת שביעית,pdhqolan,,SKIPPED,,"status=""failed""",,,רושת שביעית,pdhqolan
269af5ae-e638-4a9b-b294-b9ced39ac30a,דקדוק קלשׁוֹן הערבית,מאיר מ. פלסנר,,SKIPPED,,"status=""failed""",,,דקדוק קלשׁוֹן הערבית,מאיר מ. פלסנר
270cc279-8e27-4f05-b6ee-4ea829c00ab2,Artlin,"הרב אהרן ראובן, משארני",,SKIPPED,,"status=""failed""",,,Artlin,"הרב אהרן ראובן, משארני"
27f4eff6-cbed-4928-96f7-6697619ea2c8,לימוד טעמי המקרא – מגילת אסתר,יהודה קררר,,SKIPPED,,"status=""failed""",,,לימוד טעמי המקרא – מגילת אסתר,יהודה קררר
28bddbaa-525b-4e6a-b7a7-adad130fb98c,דער אידישער רעדנער,הרב י. ל. לאַזעראָוו,,SKIPPED,,"status=""failed""",,,דער אידישער רעדנער,הרב י. ל. לאַזעראָוו
29341ace-6617-4b2e-b7dd-377407660130,דאָס אייביגע פאלק,ישראל איסר קאַצאָוויטש,,SKIPPED,,"status=""failed""",,,דאָס אייביגע פאלק,ישראל איסר קאַצאָוויטש
293655d3-0436-402c-9b74-bab0d5d55785,Oeuvres complètes de Chateaubriand augm. d'un essai sur la vie et les ouvrages de l'auteur ...,F. A. R. vicomte de Chateaubriand,,SKIPPED,,"status=""failed""",,,Oeuvres complètes de Chateaubriand augm. d'un essai sur la vie et les ouvrages de l'auteur ...,F. A. R. vicomte de Chateaubriand
2973c709-af6b-4821-bc7a-1e376f29e957,וצר בידנ דין,Unknown,,SKIPPED,,"status=""failed""",,,וצר בידנ דין,Unknown
29cafa88-d740-4b57-9c70-832a4badfd80,ANTITONILL,EODOKAEOTE,,SKIPPED,,"status=""failed""",,,ANTITONILL,EODOKAEOTE
29eb1c75-72dd-453e-aa65-0cfb8b2a710d,נשביעית וצר בית הגולן,Unknown,,SKIPPED,,"status=""failed""",,,נשביעית וצר בית הגולן,Unknown
29ff2a16-28b5-46a1-9e21-0576cc2df95b,The History of the Growth and Decay of the Othman Empire ...,Dimitrie Cantemir (Voivode of Moldavia),,SKIPPED,,"status=""failed""",,,The History of the Growth and Decay of the Othman Empire ...,Dimitrie Cantemir (Voivode of Moldavia)
2a242210-7106-44a5-a7ec-13898b91478b,Philosophers on Music,Kathleen Stock,,SKIPPED,,"status=""needs_review""",,,Philosophers on Music,Kathleen Stock
2a742b18-4b40-4bf2-baf6-edbc0db2a3fb,Or Hatfilah Volume 8,NAFTALI HERSTIK,,SKIPPED,,"status=""needs_review""",,,Or Hatfilah Volume 8,NAFTALI HERSTIK
2a752e00-23aa-4d73-936e-7c65ce0237ac,קדוש בקדושת שביעית,צבי,,SKIPPED,,"status=""failed""",,,קדוש בקדושת שביעית,צבי
2ac1563c-2772-4a4d-8a9d-751137f195b0,פרים,"ראחוב יע""אל",,SKIPPED,,"status=""failed""",,,פרים,"ראחוב יע""אל"
2b2bf590-7723-4e1f-8a19-d3b7b600c820,בית אך,Unknown,,SKIPPED,,"status=""failed""",,,בית אך,Unknown
2b97aa82-f94c-4676-8eb3-9fd60a20cca9,ניות מובחר,מון,,SKIPPED,,"status=""failed""",,,ניות מובחר,מון
2b99639f-de7c-42fc-af5e-21b9680d91d7,פירות מובחרים,aj Prai,,SKIPPED,,"status=""failed""",,,פירות מובחרים,aj Prai
2bad7401-e39c-4c06-a043-1d2baa8e1d1d,"Dizionario di fisica e chimica applicata alle arti secondo le dottrine di Libes, Chaptal, Berthollet e Parkes e giusta le teorie moderne ed i metodi i più semplici introdottisi nei diversi processi chimici di Giovanni Pozzi ... Con tavole in rame. Tomo 1. [-9.]",R. Sabouraud,,SKIPPED,,"status=""failed""",,,"Dizionario di fisica e chimica applicata alle arti secondo le dottrine di Libes, Chaptal, Berthollet e Parkes e giusta le teorie moderne ed i metodi i più semplici introdottisi nei diversi processi chimici di Giovanni Pozzi ... Con tavole in rame. Tomo 1. [-9.]",R. Sabouraud
2c3bdc4e-9b9d-4db4-86ed-aef3ac9cf4f9,Еврейская энциклопедия,"А. Прайт, Марк Кипнис",,SKIPPED,,"status=""failed""",,,Еврейская энциклопедия,"А. Прайт, Марк Кипнис"
2c7dc1bd-62c1-448b-8a05-67cf5f4088e4,דרשות,אהרן יעלינעם,,SKIPPED,,"status=""failed""",,,דרשות,אהרן יעלינעם
2d303168-2320-4b46-84ad-529b72e37f06,קירור הגולן,Unknown,,SKIPPED,,"status=""failed""",,,קירור הגולן,Unknown
2df2a913-1716-4eb8-98e4-b17d97ebbf65,Jan Van Ruusbroec,Paul Mommaers; N. de Paepe,,SKIPPED,,"status=""needs_review""",,,Jan Van Ruusbroec,Paul Mommaers; N. de Paepe
2ec84287-3bd4-480c-941b-34daf6b9a3f8,"Mashle: Magic and Muscles, Vol. 1",Hajime Komoto,,SKIPPED,,"status=""failed""",,,"Mashle: Magic and Muscles, Vol. 1",Hajime Komoto
2f31bb43-16f6-45ca-811f-0a54b74b40cc,The Roman antiquities of Dionysius of Halicarnassus. Vol.5,Dionysius Halicarnassus,,SKIPPED,,"status=""needs_review""",,,The Roman antiquities of Dionysius of Halicarnassus. Vol.5,Dionysius Halicarnassus
2f34d2e8-5d82-4061-a6d9-38eb7d10ee2b,למך השני,בן - א. סאכאטשעווסקי,,SKIPPED,,"status=""failed""",,,למך השני,בן - א. סאכאטשעווסקי
2f779b77-6c11-4759-afb3-1fa3928da80d,ושת שביעית הגולן,Unknown,,SKIPPED,,"status=""failed""",,,ושת שביעית הגולן,Unknown
320cb255-a7a3-4680-9e47-e2de31a4400b,תפלות,לייב גלאנץ,,SKIPPED,,"status=""failed""",,,תפלות,לייב גלאנץ
32147d44-195e-4b74-b54a-c94d9a83e45f,איך בין אַ ייִד!,דמיטרי יקירעוויטש,,SKIPPED,,"status=""failed""",,,איך בין אַ ייִד!,דמיטרי יקירעוויטש
32a9e33c-1911-437a-8e6e-e0e51ec8c039,Todah w'Simrah,Louis Lewandowski,,SKIPPED,,"status=""needs_review""",,,Todah w'Simrah,Louis Lewandowski
32f48678-d00f-4500-9218-248c44031456,Solfeo de Los Solfeos,G Carulli; Enrique Lemoine,,SKIPPED,,"status=""needs_review""",,,Solfeo de Los Solfeos,G Carulli; Enrique Lemoine
33af1634-eed7-4679-ac8a-c17e34fa57e1,רור,גולן,,SKIPPED,,"status=""failed""",,,רור,גולן
3412475d-5778-4db5-9093-a64bd904bc82,"לוח לשנת ה'תשמ""ט",ועד הקהלות הקדושות בפולי,,SKIPPED,,"status=""failed""",,,"לוח לשנת ה'תשמ""ט",ועד הקהלות הקדושות בפולי
346f83d3-7685-49ea-8009-95380d629e18,עגבנוּ,Unknown,,SKIPPED,,"status=""failed""",,,עגבנוּ,Unknown
3556127f-5135-4971-88ee-24ef18a2b96a,Knizhnai︠a︡ li︠e︡topisʹ,A.II.чEXOB,,SKIPPED,,"status=""failed""",,,Knizhnai︠a︡ li︠e︡topisʹ,A.II.чEXOB
35641193-d7b3-4276-ace0-67a27f6cd372,Евгений Онегин,A.C. IIVIIIKHH,,SKIPPED,,"status=""failed""",,,Евгений Онегин,A.C. IIVIIIKHH
363cb09c-78b5-40e0-9ab7-13236d68c20d,בראשית,יעקב באטאטיאנסק,,SKIPPED,,"status=""failed""",,,בראשית,יעקב באטאטיאנסק
36aa490c-a09d-4193-86d1-2ecdd96adced,ימי עולם,"שמואל יוסף ב""ר יצחק אייזיק פין",,SKIPPED,,"status=""failed""",,,ימי עולם,"שמואל יוסף ב""ר יצחק אייזיק פין"
385bcd35-675c-4288-a59c-83c9a992dab2,קירור חרמון,Unknown,,SKIPPED,,"status=""failed""",,,קירור חרמון,Unknown
388105e6-11ff-4b38-b5c1-4bf6f55c9025,נוסחת הכסף: לחמה במינוס לניצחון כלכלי,גיל אורלי,,SKIPPED,,"status=""failed""",,,נוסחת הכסף: לחמה במינוס לניצחון כלכלי,גיל אורלי
38c41a4d-49d1-4321-9b75-01539a702672,ישמח משה,Yaakov Moshe Hillel,,SKIPPED,,"status=""failed""",,,ישמח משה,Yaakov Moshe Hillel
3995b67a-869c-4758-8416-7f62c05c5140,The Sabbath Anthology,Abraham Ezra Millgram,,SKIPPED,,"status=""needs_review""",,,The Sabbath Anthology,Abraham Ezra Millgram
39ae96fb-e68a-4114-9acf-2132736e1a6e,"""В Ивановку я всегда стремился...""",D. V. Kalashnikov; O. A. Kazʹmin,,SKIPPED,,"status=""failed""",,,"""В Ивановку я всегда стремился...""",D. V. Kalashnikov; O. A. Kazʹmin
3ae0b6e2-498e-4a5f-959d-904b2611cc71,גבניות מובן,Unknown,,SKIPPED,,"status=""failed""",,,גבניות מובן,Unknown
3aec91d6-0694-49f6-b525-3d3aad044d74,COBPAHME CO4MHEHий,I.H. T0ICTOII,,SKIPPED,,"status=""failed""",,,COBPAHME CO4MHEHий,I.H. T0ICTOII
3aeeaea1-b154-459c-9fad-a8b3ba459446,עגבני,Unknown,,SKIPPED,,"status=""failed""",,,עגבני,Unknown
3af8274e-952b-49a0-be43-11b6d32f956e,"Time, Astronomy, and Calendars in the Jewish Tradition",Sacha Stern; Charles Burnett,,SKIPPED,,"status=""needs_review""",,,"Time, Astronomy, and Calendars in the Jewish Tradition",Sacha Stern; Charles Burnett
3b0e8dcd-1b96-492e-8721-cabb71df9699,Todah ṿe-zimrah,Louis Lewandowski,,SKIPPED,,"status=""needs_review""",,,Todah ṿe-zimrah,Louis Lewandowski
3b8f764b-0316-4ded-9c65-4bfdfdb0356f,חמשה חומשי תורה,שמשון רפאל הירש,,SKIPPED,,"status=""failed""",,,חמשה חומשי תורה,שמשון רפאל הירש
3d526067-7d8f-48c7-a417-c6826453a6dc,דער פרוי,נ ש מ ן בא ג ר,,SKIPPED,,"status=""failed""",,,דער פרוי,נ ש מ ן בא ג ר
3da3429b-8312-429d-b4ec-326cf1fde0d0,ספר היובלים,מיכאל סיגל,,SKIPPED,,"status=""failed""",,,ספר היובלים,מיכאל סיגל
3db367f3-de48-445a-819d-8bc8bc74055d,3AIMCKA И3 MEPTBOгO HOMA,HETOчKA HE3BAHOBA,,SKIPPED,,"status=""failed""",,,3AIMCKA И3 MEPTBOгO HOMA,HETOчKA HE3BAHOBA
3dcd64ce-4063-4603-88a4-68bd3fb0c1fb,מחוזות העולם המוסלמי בימי הבינייים,אחמד בן יחיא אלבלאד'רי,,SKIPPED,,"status=""failed""",,,מחוזות העולם המוסלמי בימי הבינייים,אחמד בן יחיא אלבלאד'רי
3e984c16-1dcb-44d5-8c3d-3726708755a0,Jewish Lights; Assorted,Jewish Lights Publishing; Jewish Lights Publishing Staff,,SKIPPED,,"status=""needs_review""",,,Jewish Lights; Assorted,Jewish Lights Publishing; Jewish Lights Publishing Staff
3e9ca8e2-b198-43ac-adf0-437a6d3b9f87,Lucianea et Pseudo-Lucianea. Studies on pseudepigrapha of Lucian and works by Lucian sometimes considered spurious,Francesca Mestre; Pilar Gómez; Cristian Tolsa,,SKIPPED,,"status=""failed""",,,Lucianea et Pseudo-Lucianea. Studies on pseudepigrapha of Lucian and works by Lucian sometimes considered spurious,Francesca Mestre; Pilar Gómez; Cristian Tolsa
3f4d667f-3b86-4cf2-8304-a3164a21bb36,Pegop,OCTOEBCK Apeemyn,,SKIPPED,,"status=""failed""",,,Pegop,OCTOEBCK Apeemyn
3ffbf1a8-ecd0-4484-83a3-87f80ca0bc2a,סדר ההפטרות,Mendel Hirsch; יצחק משה פרידמן,,SKIPPED,,"status=""needs_review""",,,סדר ההפטרות,Mendel Hirsch; יצחק משה פרידמן
3ffdf986-28fc-4fa2-96e2-8ab90b5afe56,Kodansha Comics Digital Sampler - REAL,Various,,SKIPPED,,"status=""needs_review""",,,Kodansha Comics Digital Sampler - REAL,Various
41241364-8c42-4e99-a612-ae02a362b5aa,חזוק אמונה,יצחק,,SKIPPED,,"status=""failed""",,,חזוק אמונה,יצחק
4193ff13-d293-4aea-9672-02356645988d,Frank Leslie's Illustrated Newspaper,John Albert Sleicher,,SKIPPED,,"status=""failed""",,,Frank Leslie's Illustrated Newspaper,John Albert Sleicher
41b4dc87-354a-497f-9fc2-acf32e15250b,אונזער תודות,פנחם דוד,,SKIPPED,,"status=""failed""",,,אונזער תודות,פנחם דוד
42e5a69e-f087-4969-810b-3bed6532edb7,SHT,Unknown,,SKIPPED,,"status=""failed""",,,SHT,Unknown
