id,source,title,title_he,author,philology_score,confidence,philology_tags,collection,category,language,publisher,is_journal,matched_terms,status,needs_review
682f0edf-f6f7-4676-a0ca-0a6694d66ce4,supabase,A Lexicon Abridged From Liddell & Scott's Greek-English Lexicon,,Liddell & Scott; Rev. James M. Whiton,0.322,medium,grammar|greek|lexicography,Classical Philology | Greek & Latin,,English,Harper & Brothers,false,greek lexicon; liddell; scott; lexicon; [title:lexicon]; [title:greek]; [scholar:Liddell],,false
690a5241-d654-4c6d-8cc5-38bded72c770,supabase,An Intermediate Greek-English Lexicon,,Liddell and Scott,0.322,medium,grammar|greek|lexicography,Classical Philology | Greek & Latin,,English,Clarendon Press,false,greek lexicon; liddell; scott; lexicon; [title:lexicon]; [title:greek]; [scholar:Liddell],,false
117e567b-1834-4db2-b455-caa525b8a4e5,json,A concordance of the Armenian Apocryphal Adam books,,Michael E. Stone,0.318,medium,biblical_studies|grammar|indo_european|lexicography|linguistics|medieval_texts|patristics,Jewish Philology | Biblical Textual Criticism,Language Study,English,,false,armenian; concordance; concordances; apocrypha; medieval; [title:concordance],done,false
2285b0e2-f79d-46a6-9e92-307c599215ae,json,A Greek-English Lexicon,,Henry George Liddell,0.307,medium,grammar|greek|lexicography,Classical Philology | Greek & Latin,Greek language,el,,false,liddell; scott; lexicon; [title:lexicon]; [title:greek]; [scholar:Liddell],done,false
682f0edf-f6f7-4676-a0ca-0a6694d66ce4,json,A Lexicon Abridged from Liddell & Scott's Greek-English Lexicon,,Henry George Liddell; Robert Scott; James Morris Whiton,0.307,medium,grammar|greek|lexicography,Classical Philology | Greek & Latin,History,English,Franklin Classics Trade Press,false,liddell; scott; lexicon; [title:lexicon]; [title:greek]; [scholar:Liddell],done,false
690a5241-d654-4c6d-8cc5-38bded72c770,json,An Intermediate Greek-English Lexicon,,Henry George Liddell; Robert Scott,0.307,medium,grammar|greek|lexicography,Classical Philology | Greek & Latin,Greek language,el,,false,liddell; scott; lexicon; [title:lexicon]; [title:greek]; [scholar:Liddell],done,false
1d74c8ab-f71b-4440-aa6a-2055c3a9768f,supabase,"JUDEAN DESERT STUDIES: The Documents from the Bar-Kokhba Period in the Cave of Letters, Greek Papyri",,Unknown,0.3,medium,codicology|epigraphy|greek|manuscripts|papyrology,Classical Philology | Greek & Latin | Manuscripts & Papyrology,,English,Israel Exploration Society,false,greek papyri; papyri; [title:papyri]; [title:greek],,false
34c9a631-0a25-4c61-b7c4-bc5472c70bf6,json,New Latin Grammar for Shools and Colleges,,J. B. Greenough; G. L. Kittredge; A. A. Howard; Benj. L. D'ooge,0.298,low,grammar|latin|lexicography,Classical Philology | Greek & Latin,Fiction,English,BoD – Books on Demand,false,latin; latin grammar; grammar; [title:grammar]; [title:latin]; [title:latin grammar],done,false
962c8b87-e672-4a6c-b7b7-2d5fe62a3e00,json,Gildersleeve's Latin Grammar,,Gildersleeve and Lodge,0.298,low,grammar|latin|lexicography,Classical Philology | Greek & Latin,,,,false,latin; latin grammar; grammar; [title:grammar]; [title:latin]; [title:latin grammar],done,true
34c9a631-0a25-4c61-b7c4-bc5472c70bf6,supabase,Allen and Greenough's New Latin Grammar,,"J. B Greenough, G. L. Kittredge, A. A. Howard, and Benj. L. D'Ooge",0.298,low,grammar|latin|lexicography,Classical Philology | Greek & Latin,,English,"Aristide D. Caratzas, Publisher",false,latin; latin grammar; grammar; [title:grammar]; [title:latin]; [title:latin grammar],,false
d57bcc57-00e8-4442-8116-b5bb6defbf9e,supabase,"THE OLD TESTAMENT IN SYRIAC PESHITTA VERSION PART IV, 2 CHRONICLES",,Unknown,0.298,low,biblical_studies|jewish_philology|patristics|semitic_languages,Jewish Philology | Semitic Languages | Biblical Textual Criticism,,English,BRILL,false,syriac; peshitta; old testament; biblical; [title:syriac],,false
a24f4641-6b40-447d-bea7-ff8ef0896106,json,Comparative Grammar of the Semitic Languages,,De Lacy O'Leary,0.295,low,grammar|indo_european|lexicography|linguistics|semitic_languages,Jewish Philology | Semitic Languages,Social Science,English,Routledge,false,semitic; semitic languages; assyrian; aramaic; comparative grammar; grammar; [title:grammar],done,false
85f96b9c-96c3-4d84-96cc-99ecf9670d53,supabase,A DICTIONARY OF JEWISH BABYLONIAN ARAMAIC,,Michael Sokoloff,0.29,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,,English,Bar Ilan University Press / The Johns Hopkins University Press,false,babylonian; aramaic; dictionary of; [title:aramaic]; [scholar:Michael Sokoloff],,false
6be30e79-6e8c-407f-970e-e6973194317b,json,A Greek Grammar,,William W. Goodwin,0.283,low,grammar|greek|lexicography,Classical Philology | Greek & Latin,,,,false,greek grammar; grammar; [title:grammar]; [title:greek]; [title:greek grammar],done,true
b149592b-0223-4a71-a792-440e44c62c4b,json,"Reading Greek: Grammar, Vocabulary and Exercises",,Joint Association of Classical Teachers,0.283,low,grammar|greek|lexicography,Classical Philology | Greek & Latin,,,,false,greek grammar; grammar; [title:grammar]; [title:greek]; [title:greek grammar],done,true
cb159dbb-e5b8-4099-902e-e9f2fa11ad48,supabase,A DICTIONARY OF GREEK & LATIN LEGAL TERMS IN RABBINIC LITERATURE,,Daniel Sperber,0.283,low,biblical_studies|grammar|greek|jewish_philology|latin|lexicography,Jewish Philology | Classical Philology | Greek & Latin | Biblical Textual Criticism,,English,Bar Ilan University Press,false,latin; rabbinic; dictionary of; [title:greek]; [title:latin],,false
c84ef8c7-7e97-44eb-b131-295cf26d4a8b,supabase,Greek Grammar,,Herbert Weir Smyth,0.283,low,grammar|greek|lexicography,Classical Philology | Greek & Latin,,English,Harvard University Press,false,greek grammar; grammar; [title:grammar]; [title:greek]; [title:greek grammar],,false
8632684e-6e71-4595-8360-1e223d78a592,json,Studies in Semitic Linguistics,,Gideon Goldenberg,0.282,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,Fiction,English,Magnes Press,false,semitic; semitic languages; aramaic; syriac; amharic; grammatical; syntax; [scholar:Gideon Goldenberg],done,false
3e9ca8e2-b198-43ac-adf0-437a6d3b9f87,json,Lucianea et Pseudo-Lucianea. Studies on pseudepigrapha of Lucian and works by Lucian sometimes considered spurious,,Francesca Mestre; Pilar Gómez; Cristian Tolsa,0.275,low,biblical_studies|classical_philology|codicology|manuscripts|medieval_texts|patristics,Jewish Philology | Classical Philology | Biblical Textual Criticism | Manuscripts & Papyrology,,English,Edicions Universitat Barcelona,false,manuscript tradition; manuscript; pseudepigrapha; middle ages,failed,true
7b89c401-ab19-4f70-aaee-2d6fd856d079,json,Medieval Latin,,K. P. Harrington; Joseph Pucci,0.275,low,grammar|latin|lexicography|medieval_texts,Classical Philology | Greek & Latin,Foreign Language Study,English,University of Chicago Press,false,latin; classical latin; medieval latin; grammatical; medieval; [title:latin],done,false
36b1b33f-bee7-4f14-ac2c-bf31aa969607,json,Early Greek Science,,G E R Lloyd,0.273,low,greek|latin,Classical Philology | Greek & Latin,Science,English,Random House,false,herodotus; plato; aristotle; cicero; virgil; horace; tacitus; caesar; [title:greek],done,false
2b2c3bde-5abe-444d-b51b-1bd7508b922d,json,Armenian Apocrypha Relating to Angels and Biblical Heroes,,Michael E. Stone,0.271,low,biblical_studies|codicology|indo_european|linguistics|manuscripts|medieval_texts|patristics,Jewish Philology | Biblical Textual Criticism | Manuscripts & Papyrology,Religion,English,SBL Press,false,manuscripts; armenian; biblical; apocrypha; medieval,done,false
2eafb148-42b8-4abb-80ec-d57ff8b0cf7d,json,The Light of the Eyes,,Azariah ben Moses dei Rossi; ʿAzaryā Ben-Moše de Rôssî,0.271,low,biblical_studies|classical_studies|greek|jewish_philology|patristics,Jewish Philology | Classical Philology | Greek & Latin | Biblical Textual Criticism,History,English,Yale Judaica (Hardcover),false,septuagint; hellenistic; biblical,done,false
859b9662-6a57-4cda-8827-b7d19d88b3bf,json,"Homer, the Bible, and Beyond",,M. Finkelberg & G.G. Stroumsa,0.271,low,biblical_studies|classical_studies|greek|jewish_philology|patristics,Jewish Philology | Classical Philology | Greek & Latin | Biblical Textual Criticism,Religion,English,BRILL,false,homer; rabbinic; ancient greece; new testament,done,false
285ec356-9d98-405f-936a-355ca3ae17de,json,Sumerian Grammar,,Dietz Otto Edzard,0.267,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,Reference,English,BRILL,false,semitic; akkadian; cuneiform; grammar; syntax; morphology; phonology; phonetics; [title:grammar],done,false
375493a9-30c4-4d16-ad23-519c26cd66dc,supabase,Lexicon Platonicum,,D. Fredericus Astius,0.267,low,grammar|greek|latin|lexicography,Classical Philology | Greek & Latin,,Latin,Libraria Weidmanniana,false,plato; latin; lexicon; [title:lexicon],,false
18e15321-03b6-4b1a-8948-34edc991f54a,json,An Introduction to the Comparative Grammar of the Semitic Languages,,"Sabatino; Spitaler Moscati (Anton; Ullendorff, Edward; von Soden, Wolfram)",0.265,low,grammar|indo_european|lexicography|linguistics|semitic_languages,Jewish Philology | Semitic Languages,,English,,false,semitic; semitic languages; comparative grammar; grammar; [title:grammar],done,false
5c80ddd3-9db3-4390-90c7-535885426bb7,json,Gesenius' Hebrew Grammar,,"Gesenius, Kautzsch, Cowley, Euting, Lidzbarski",0.265,low,biblical_studies|grammar|jewish_philology|lexicography,Jewish Philology | Biblical Textual Criticism,,,,false,hebrew grammar; gesenius; grammar; [title:grammar]; [title:hebrew grammar],done,true
2c767f29-733d-4251-bf4e-98564414f9f4,json,An English and Hebrew Lexicon,,Selig Newman,0.258,low,biblical_studies|grammar|jewish_philology|lexicography,Jewish Philology | Biblical Textual Criticism,,English,,false,hebrew lexicon; lexicon; [title:lexicon]; [title:hebrew lexicon],done,false
c1027722-09a0-4c25-b14f-5e5f05bb1747,supabase,Lexicon Palaeoslovenico-Graeco-Latinum,,Franz von Miklosich,0.258,low,grammar|indo_european|latin|lexicography|linguistics,Classical Philology | Greek & Latin,,Latin,Scientia Verlag Aalen,false,latin; slavic; lexicon; [title:lexicon],,false
4093cb7d-1985-4a9a-84a3-188bf141a4aa,json,Greek Science In Antiquity,,Marshall Clagett,0.252,low,classical_studies|greek|latin|medieval_texts,Classical Philology | Greek & Latin,History,English,Hauraki Publishing,false,latin; medieval latin; late antiquity; medieval; [title:greek],done,false
dbefdfce-2a60-4a2c-9495-f7c827617091,supabase,Transactions of the American Philological Association,,Unknown,0.246,low,classical_philology|journal|periodical,Classical Philology,,English,,true,philology; philological; transactions of; [journal:transactions.*american.*philological],,false
201478f5-f700-44ca-8652-739c1436a9f0,json,Grammar of the Dialects of Vernacular Syriac,,Arthur John Maclean,0.242,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,Proverbs,English,,false,syriac; grammar; [title:grammar]; [title:syriac],done,false
aa7f8e30-8c44-44b8-b0c7-3964e2d3fbca,json,Grammar of Palestinian Jewish Aramaic,,Wm. B. Stevenson,0.242,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,,English,,false,aramaic; grammar; [title:grammar]; [title:aramaic],done,false
201478f5-f700-44ca-8652-739c1436a9f0,supabase,GRAMMAR OF THE DIALECTS OF VERNACULAR SYRIAC,,ARTHUR J. MACLEAN,0.242,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,,English,,false,syriac; grammar; [title:grammar]; [title:syriac],,false
aa7f8e30-8c44-44b8-b0c7-3964e2d3fbca,supabase,Grammar of PALESTINIAN JEWISH ARAMAIC,,"WM. B. STEVENSON, J. A. EMERTON",0.242,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,,English,CLARENDON PRESS OXFORD,false,aramaic; grammar; [title:grammar]; [title:aramaic],,false
6bf2294f-319c-4414-8efa-1dc44a3d42b1,json,"Old Persian: Grammar, Texts, Lexicon",,Roland G. Kent,0.238,low,grammar|indo_european|lexicography|linguistics,,,,,false,old persian; lexicon; grammar; [title:grammar]; [title:lexicon],done,true
73189cac-d1cf-4712-bb35-4479e8eaba67,json,A Concise Dictionary of New Testament Greek,,Warren C. Trenchard,0.238,low,biblical_studies|grammar|greek|lexicography|patristics,Jewish Philology | Classical Philology | Greek & Latin | Biblical Textual Criticism,Religion,English,Cambridge University Press,false,new testament greek; dictionary of; new testament; [title:greek],done,false
103320af-63c7-4c8f-84b3-b0339bc2d3c7,json,The Making of Menander's Comedy,,Sander M. Goldberg,0.232,low,codicology|epigraphy|latin|manuscripts|papyrology,Classical Philology | Greek & Latin | Manuscripts & Papyrology,Literary Criticism,English,A&C Black,false,plautus; terence; papyrus,done,false
4977edaa-4e8f-4dc1-8abc-1646e04b5966,json,Aiding Talmud Study,,Aryeh Carmell,0.232,low,biblical_studies|grammar|jewish_philology|lexicography|semitic_languages,Jewish Philology | Semitic Languages | Biblical Textual Criticism,Religion,English,Feldheim Publishers,false,aramaic; talmud; talmudic; grammar,done,false
0e4a1f05-a206-420c-b560-087fe543f1cd,supabase,A Short Grammar of Classical Greek,,"Adolf Kaegi, James A. Kleist",0.232,low,grammar|greek|lexicography,Classical Philology | Greek & Latin,,English,B. Herder,false,classical greek; greek grammar; grammar; [title:grammar]; [title:greek],,false
3f816ee4-3323-47f6-b6f9-683a3aaeb2e2,json,Selected Papers in Ethiosemitic and Neo-Aramaic Linguistics,,Olga Kapeliuk,0.23,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,Language Arts & Disciplines,English,Magness Press,false,semitic; semitic languages; aramaic; syntax; [title:aramaic],done,false
0466be2f-fcb5-4aed-8978-64b7c6d28cf6,json,Transactions of the American Philological Association,,American Philological Association,0.229,low,classical_philology|journal|periodical,Classical Philology,,English,,true,philological; transactions of; [journal:transactions.*american.*philological],done,false
7797826e-238c-4d3c-9123-320da488eaf0,json,"Demosthenes, Against Meidias (oration 21)",,Demosthenes,0.229,low,classical_philology|codicology|greek|manuscripts,Classical Philology | Greek & Latin | Manuscripts & Papyrology,Drama,English,"Oxford University Press, USA",false,apparatus criticus; demosthenes; manuscripts,done,false
8995d920-b644-4256-b756-3f4c969873d5,supabase,Exegesis and Grammar in Medieval Karaite Texts,,KHAN,0.229,low,biblical_studies|grammar|lexicography|medieval_texts|patristics,Jewish Philology | Biblical Textual Criticism,,English,,false,grammar; exegesis; medieval; [title:grammar],,false
be6ffc85-b0a4-4603-864b-c44b3560a408,json,On Justice,,Lenn E. Goodman,0.228,low,biblical_studies|greek|jewish_philology|patristics,Jewish Philology | Classical Philology | Greek & Latin | Biblical Textual Criticism,Religion,English,Liverpool University Press,false,plato; aristotle; rabbinic; biblical,done,false
8b624ed0-9bc8-4dde-ae2a-7e7940fbf168,json,Harvard Studies in Classical Philology,,Harvard University,0.225,low,classical_philology|journal,Classical Philology,Classical philology,English,,true,philology; [title:philology]; [journal:harvard.*studies.*classical.*philology],done,false
8b624ed0-9bc8-4dde-ae2a-7e7940fbf168,supabase,Harvard Studies in Classical Philology,,A Committee of the Classical Instructors of Harvard University,0.225,low,classical_philology|journal,Classical Philology,,English,Harvard University Press,true,philology; [title:philology]; [journal:harvard.*studies.*classical.*philology],,false
dd57af10-2ca7-4956-985d-7904b973e7d2,supabase,The Verb in the Greek Non-Literary Papyri,,Basil G. Mandilaras,0.225,low,codicology|epigraphy|greek|manuscripts|papyrology,Classical Philology | Greek & Latin | Manuscripts & Papyrology,,Greek,Hellenic Ministry of Culture and Sciences,false,papyri; [title:papyri]; [title:greek],,false
be4cc0f6-163c-43ef-a87a-d350c089c2d3,json,Handbook for Classical Research,,David M. Schaps,0.223,low,codicology|epigraphy|grammar|lexicography|manuscripts|papyrology,Manuscripts & Papyrology,Education,English,Taylor & Francis,false,palaeography; epigraphy; numismatics; lexicography,done,false
72235897-9453-42d2-a0a2-4d620b437e60,json,From Text to Tradition,,Lawrence H. Schiffman,0.22,low,biblical_studies|jewish_philology|patristics,Jewish Philology | Biblical Textual Criticism,Religion,English,"KTAV Publishing House, Inc.",false,dead sea scrolls; mishnah; rabbinic; talmudic; biblical; apocrypha; pseudepigrapha; second temple,done,false
7ef543fd-a096-4dca-8fc6-06ff4337737e,json,"A History of Samos, 800-188 BC",,Graham Shipley,0.219,low,classical_studies|epigraphy|greek|papyrology,Classical Philology | Greek & Latin | Manuscripts & Papyrology,History,English,,false,thucydides; herodotus; inscriptions; hellenistic,done,false
4c0f3b82-d5fb-446d-8047-2ffcc2114d66,json,Babylonia Judaica in the Talmudic Period,,Aharon Oppenheimer; Benjamin H. Isaac; Michael Lecker,0.215,low,biblical_studies|jewish_philology|semitic_languages,Jewish Philology | Semitic Languages | Biblical Textual Criticism,History,English,Dr Ludwig Reichert,false,babylonian; talmud; talmudic; [title:talmudic],done,false
622f8382-f245-4b82-8127-f808d9648436,json,Reclaiming the Rural,,Kim Donehower; Charlotte Hogg; Eileen E Schell,0.215,low,biblical_studies|jewish_philology,Jewish Philology | Biblical Textual Criticism,Language Arts & Disciplines,English,SIU Press,false,dead sea scrolls; qumran; [title:dead sea scrolls]; [title:qumran],failed,true
68306d02-ddaf-4888-855d-87d4f7f3e7e9,json,Carnal Israel,,Daniel Boyarin,0.215,low,biblical_studies|jewish_philology|patristics,Jewish Philology | Biblical Textual Criticism,Literary Criticism,English,Univ of California Press,false,rabbinic; talmudic; patristic; early christian; [title:talmudic],done,false
622f8382-f245-4b82-8127-f808d9648436,supabase,"Reclaiming the Dead Sea Scrolls: The History of Judaism, The Background of Christianity, The Lost Library of Qumran",,Lawrence H. Schiffman,0.215,low,biblical_studies|jewish_philology,Jewish Philology | Biblical Textual Criticism,,English,,false,dead sea scrolls; qumran; [title:dead sea scrolls]; [title:qumran],,false
04344546-84ba-4375-bd9f-d3863d90790c,json,A Concise History of Mathematics,,Dirk J. Struik,0.214,low,codicology|epigraphy|manuscripts|medieval_texts|papyrology,Manuscripts & Papyrology,Mathematics,English,Courier Corporation,false,manuscripts; papyrus; medieval,done,false
5e766bac-8a8e-4830-b2fc-57342b74fd29,json,Women in Hellenistic Egypt,,Sarah B. Pomeroy,0.214,low,classical_studies|codicology|epigraphy|manuscripts|papyrology,Manuscripts & Papyrology,History,English,Schocken,false,papyri; inscriptions; hellenistic,done,false
284d6594-8970-4226-9795-76f369ba5626,json,Encyclopedia of the Dead Sea Scrolls,,Lawrence H. Schiffman,0.213,low,biblical_studies|codicology|jewish_philology|manuscripts,Jewish Philology | Biblical Textual Criticism | Manuscripts & Papyrology,Dead Sea scrolls,English,,false,dead sea scrolls; manuscripts; [title:dead sea scrolls],done,false
2d10cd8f-fb05-4a2a-81c1-6b8209056aca,json,A History of Greek Political Thought (Routledge Library Editions: Political Science Volume 34),,T. A. Sinclair,0.212,low,classical_studies|greek,Classical Philology | Greek & Latin,Political Science,English,Routledge,false,homer; euripides; thucydides; herodotus; hellenistic; [title:greek],done,false
02d6c4b0-3ef0-4d82-81b7-67df93231263,json,Collected Writings in Jewish Studies,,Efraim Elimelech Urbach,0.211,low,biblical_studies|jewish_philology|medieval_texts|patristics,Jewish Philology | Biblical Textual Criticism,Religion,English,,false,rabbinic; talmudic; second temple; medieval,done,false
09e1bd5f-2f1e-4e01-b1b9-1138cbf78447,json,Jewish Views of the Afterlife,,Simcha Paull Raphael,0.211,low,biblical_studies|jewish_philology|medieval_texts|patristics,Jewish Philology | Biblical Textual Criticism,Eschatology,English,Jason Aronson,false,midrash; rabbinic; apocrypha; medieval,done,false
16e58765-5d2d-4547-acbb-f13878eb0fad,json,Maimonides and the Hermeneutics of Concealment,,James Arthur Diamond,0.208,low,biblical_studies|jewish_philology|medieval_texts|patristics,Jewish Philology | Biblical Textual Criticism,Religion,English,State University of New York Press,false,rabbinic; biblical; hermeneutics; medieval,done,false
4cac4835-fdc1-4b44-b488-e5497c8eda6a,json,The Legend of King Arthur,,Shalini Saxena,0.208,low,biblical_studies|greek|jewish_philology,Jewish Philology | Classical Philology | Greek & Latin | Biblical Textual Criticism,Juvenile Nonfiction,English,Gareth Stevens Publishing LLLP,false,septuagint; [title:septuagint],done,false
4cac4835-fdc1-4b44-b488-e5497c8eda6a,supabase,The Legend of The Septuagint,,"Abraham Wasserstein, David J. Wasserstein",0.208,low,biblical_studies|greek|jewish_philology,Jewish Philology | Classical Philology | Greek & Latin | Biblical Textual Criticism,,English,Cambridge,false,septuagint; [title:septuagint],,false
230f631a-8a09-4075-84ae-74cd2fd4fd0f,supabase,Thinking GOD: The Bible in the Syriac Tradition,,Sebastian Brock,0.208,low,semitic_languages,Jewish Philology | Semitic Languages,,English,gorgias press,false,syriac; [title:syriac]; [scholar:Sebastian Brock],,false
305b50a4-8d1d-4e36-978a-1ed0780f846d,json,Syriac Manuscripts in the Harvard College Library: A Catalogue,,Moshe Henry Goshen-Gottstein,0.204,low,codicology|manuscripts|semitic_languages,Jewish Philology | Semitic Languages | Manuscripts & Papyrology,Language Arts & Disciplines,English,BRILL,false,syriac; manuscripts; [title:syriac],done,false
305b50a4-8d1d-4e36-978a-1ed0780f846d,supabase,Syriac Manuscripts in the Harvard College Library: A Catalogue,,Moshe H. Goshen-Gottstein,0.204,low,codicology|manuscripts|semitic_languages,Jewish Philology | Semitic Languages | Manuscripts & Papyrology,,English,Harvard,false,syriac; manuscripts; [title:syriac],,false
105fa62c-d9e8-433e-b545-c62433c33c6b,json,"Counting the People in Hellenistic Egypt: Volume 1, Population Registers (P. Count)",,Willy Clarysse; Dorothy J. Thompson,0.2,low,classical_studies|codicology|epigraphy|manuscripts|papyrology,Manuscripts & Papyrology,History,English,Cambridge University Press,false,papyri; hellenistic,done,false
2d1428c7-3ee5-4fd9-929f-a171af842914,json,Calendar:,,David Ewing Duncan,0.2,low,classical_studies|indo_european|latin|linguistics,Classical Philology | Greek & Latin,History,English,William Morrow,false,caesar; vedic; byzantium,done,false
96fcd96b-f23c-4d66-ad0a-30db8019a466,json,DICTIONARY OF THE DIALECTS OF VERNACULAR SYRIAC,,ARTHUR JOHN MACLEAN,0.2,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,,,,false,syriac; dictionary of; [title:syriac],done,true
dd0ee317-25db-4374-a85e-45c3f0623138,supabase,Studies in the Historical Syntax of Aramaic,,Na'ama Pat-El,0.2,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,,English,gorgias press,false,aramaic; syntax; [title:aramaic],,false
d65c462f-e69e-4fe1-9966-664a783c11ed,supabase,Encyclopedic Dictionary of the Syriac Heritage,,"Sebastian P. Brock, Aaron M. Butts, George A. Kiraz, Lucas Van Rompay",0.2,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,,English,Gorgias Press,false,syriac; dictionary of; [title:syriac],,false
0cf1d3b8-1df8-4a12-87af-90aec65cda48,json,Karaite Judaism,,Meira Polliack,0.199,low,classical_studies|codicology|manuscripts|medieval_texts,Manuscripts & Papyrology,Reference,English,BRILL,false,manuscripts; byzantium; medieval; middle ages,done,false
c30d0271-ef9b-48fc-b9e7-b512a961994c,supabase,A GRAMMAR OF AKKADIAN,,John Huehnergard,0.198,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,,English,Harvard Semitic Museum,false,semitic; akkadian; grammar; [title:grammar],,false
e1f451d8-332a-4a6f-9b3d-6b01a4bf4c1a,supabase,Key to A Grammar of Akkadian,,John Huehnergard,0.198,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,,English,Harvard Semitic Studies,false,semitic; akkadian; grammar; [title:grammar],,false
13a3030a-d953-441c-9dcf-584723705b7a,json,Your Voice Like a Ram's Horn,,Marc Saperstein,0.196,low,biblical_studies|jewish_philology|medieval_texts|patristics,Jewish Philology | Biblical Textual Criticism,Religion,English,Hebrew Union College Press,false,rabbinic; exegesis; middle ages,done,false
