id,source,title,title_he,author,philology_score,confidence,philology_tags,collection,category,language,publisher,is_journal,matched_terms,status,needs_review
682f0edf-f6f7-4676-a0ca-0a6694d66ce4,supabase,A Lexicon Abridged From Liddell & Scott's Greek-English Lexicon,,Liddell & Scott; Rev. James M. Whiton,0.322,medium,grammar|greek|lexicography,Classical Philology | Greek & Latin,,English,Harper & Brothers,false,greek lexicon; liddell; scott; lexicon; [title:lexicon]; [title:greek]; [scholar:Liddell],,false
690a5241-d654-4c6d-8cc5-38bded72c770,supabase,An Intermediate Greek-English Lexicon,,Liddell and Scott,0.322,medium,grammar|greek|lexicography,Classical Philology | Greek & Latin,,English,Clarendon Press,false,greek lexicon; liddell; scott; lexicon; [title:lexicon]; [title:greek]; [scholar:Liddell],,false
117e567b-1834-4db2-b455-caa525b8a4e5,json,A concordance of the Armenian Apocryphal Adam books,,Michael E. Stone,0.318,medium,biblical_studies|grammar|indo_european|lexicography|linguistics|medieval_texts|patristics,Jewish Philology | Biblical Textual Criticism,Language Study,English,,false,armenian; concordance; concordances; apocrypha; medieval; [title:concordance],done,false
2285b0e2-f79d-46a6-9e92-307c599215ae,json,A Greek-English Lexicon,,Henry George Liddell,0.307,medium,grammar|greek|lexicography,Classical Philology | Greek & Latin,Greek language,el,,false,liddell; scott; lexicon; [title:lexicon]; [title:greek]; [scholar:Liddell],done,false
682f0edf-f6f7-4676-a0ca-0a6694d66ce4,json,A Lexicon Abridged from Liddell & Scott's Greek-English Lexicon,,Henry George Liddell; Robert Scott; James Morris Whiton,0.307,medium,grammar|greek|lexicography,Classical Philology | Greek & Latin,History,English,Franklin Classics Trade Press,false,liddell; scott; lexicon; [title:lexicon]; [title:greek]; [scholar:Liddell],done,false
690a5241-d654-4c6d-8cc5-38bded72c770,json,An Intermediate Greek-English Lexicon,,Henry George Liddell; Robert Scott,0.307,medium,grammar|greek|lexicography,Classical Philology | Greek & Latin,Greek language,el,,false,liddell; scott; lexicon; [title:lexicon]; [title:greek]; [scholar:Liddell],done,false
1d74c8ab-f71b-4440-aa6a-2055c3a9768f,supabase,"JUDEAN DESERT STUDIES: The Documents from the Bar-Kokhba Period in the Cave of Letters, Greek Papyri",,Unknown,0.3,medium,codicology|epigraphy|greek|manuscripts|papyrology,Classical Philology | Greek & Latin | Manuscripts & Papyrology,,English,Israel Exploration Society,false,greek papyri; papyri; [title:papyri]; [title:greek],,false
34c9a631-0a25-4c61-b7c4-bc5472c70bf6,json,New Latin Grammar for Shools and Colleges,,J. B. Greenough; G. L. Kittredge; A. A. Howard; Benj. L. D'ooge,0.298,low,grammar|latin|lexicography,Classical Philology | Greek & Latin,Fiction,English,BoD – Books on Demand,false,latin; latin grammar; grammar; [title:grammar]; [title:latin]; [title:latin grammar],done,false
962c8b87-e672-4a6c-b7b7-2d5fe62a3e00,json,Gildersleeve's Latin Grammar,,Gildersleeve and Lodge,0.298,low,grammar|latin|lexicography,Classical Philology | Greek & Latin,,,,false,latin; latin grammar; grammar; [title:grammar]; [title:latin]; [title:latin grammar],done,true
34c9a631-0a25-4c61-b7c4-bc5472c70bf6,supabase,Allen and Greenough's New Latin Grammar,,"J. B Greenough, G. L. Kittredge, A. A. Howard, and Benj. L. D'Ooge",0.298,low,grammar|latin|lexicography,Classical Philology | Greek & Latin,,English,"Aristide D. Caratzas, Publisher",false,latin; latin grammar; grammar; [title:grammar]; [title:latin]; [title:latin grammar],,false
d57bcc57-00e8-4442-8116-b5bb6defbf9e,supabase,"THE OLD TESTAMENT IN SYRIAC PESHITTA VERSION PART IV, 2 CHRONICLES",,Unknown,0.298,low,biblical_studies|jewish_philology|patristics|semitic_languages,Jewish Philology | Semitic Languages | Biblical Textual Criticism,,English,BRILL,false,syriac; peshitta; old testament; biblical; [title:syriac],,false
a24f4641-6b40-447d-bea7-ff8ef0896106,json,Comparative Grammar of the Semitic Languages,,De Lacy O'Leary,0.295,low,grammar|indo_european|lexicography|linguistics|semitic_languages,Jewish Philology | Semitic Languages,Social Science,English,Routledge,false,semitic; semitic languages; assyrian; aramaic; comparative grammar; grammar; [title:grammar],done,false
85f96b9c-96c3-4d84-96cc-99ecf9670d53,supabase,A DICTIONARY OF JEWISH BABYLONIAN ARAMAIC,,Michael Sokoloff,0.29,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,,English,Bar Ilan University Press / The Johns Hopkins University Press,false,babylonian; aramaic; dictionary of; [title:aramaic]; [scholar:Michael Sokoloff],,false
6be30e79-6e8c-407f-970e-e6973194317b,json,A Greek Grammar,,William W. Goodwin,0.283,low,grammar|greek|lexicography,Classical Philology | Greek & Latin,,,,false,greek grammar; grammar; [title:grammar]; [title:greek]; [title:greek grammar],done,true
b149592b-0223-4a71-a792-440e44c62c4b,json,"Reading Greek: Grammar, Vocabulary and Exercises",,Joint Association of Classical Teachers,0.283,low,grammar|greek|lexicography,Classical Philology | Greek & Latin,,,,false,greek grammar; grammar; [title:grammar]; [title:greek]; [title:greek grammar],done,true
cb159dbb-e5b8-4099-902e-e9f2fa11ad48,supabase,A DICTIONARY OF GREEK & LATIN LEGAL TERMS IN RABBINIC LITERATURE,,Daniel Sperber,0.283,low,biblical_studies|grammar|greek|jewish_philology|latin|lexicography,Jewish Philology | Classical Philology | Greek & Latin | Biblical Textual Criticism,,English,Bar Ilan University Press,false,latin; rabbinic; dictionary of; [title:greek]; [title:latin],,false
c84ef8c7-7e97-44eb-b131-295cf26d4a8b,supabase,Greek Grammar,,Herbert Weir Smyth,0.283,low,grammar|greek|lexicography,Classical Philology | Greek & Latin,,English,Harvard University Press,false,greek grammar; grammar; [title:grammar]; [title:greek]; [title:greek grammar],,false
8632684e-6e71-4595-8360-1e223d78a592,json,Studies in Semitic Linguistics,,Gideon Goldenberg,0.282,low,grammar|lexicography|semitic_languages,Jewish Philology | Semitic Languages,Fiction,English,Magnes Press,false,semitic; semitic languages; aramaic; syriac; amharic; grammatical; syntax; [scholar:Gideon Goldenberg],done,false
